"CurrentName","DNVoucher","Provenance","RowNum","YearPlanted","TreeNum","RowTree","FieldID"
"Eucalyptus microcarpa","DN 2895","Boundary Bend, Vic",187,2000,10,"R187/T10","CCA3756"
"Eucalyptus microcarpa","DN 2895","Boundary Bend, Vic",187,2000,11,"R187/T11","CCA3757"
"Eucalyptus rhomboidea","DN 2272","Bremer Range, WA",187,2000,13,"R187/T13","CCA3758"
"Eucalyptus rhomboidea","DN 2272","Bremer Range, WA",187,2000,14,"R187/T14","CCA3759"
"Eucalyptus calycogona subsp. trachybasis","DN 2896","Koraleigh, NSW",187,2000,16,"R187/T16","CCA3760"
"Eucalyptus calycogona subsp. trachybasis","DN 2896","Koraleigh, NSW",187,2000,17,"R187/T17","CCA3761"
"Eucalyptus calycogona subsp. trachybasis","DN 2896","Koraleigh, NSW",187,2000,18,"R187/T18","CCA3762"
"Eucalyptus calycogona subsp. trachybasis","DN 2896","Koraleigh, NSW",187,2000,19,"R187/T19","CCA3763"
"Eucalyptus longicornis","DN 2283","Lake Johnston, WA",187,2000,23,"R187/T23","CCA3764"
"Eucalyptus longicornis","DN 2283","Lake Johnston, WA",187,2000,24,"R187/T24","CCA3765"
"Eucalyptus longicornis","DN 2283","Lake Johnston, WA",187,2000,25,"R187/T25","CCA3766"
"Eucalyptus longicornis","DN 2283","Lake Johnston, WA",187,2000,26,"R187/T26","CCA3767"
"Eucalyptus horistes subsp. horistes","DN 2756","Youanmi, WA",187,2000,27,"R187/T27","CCA3768"
"Eucalyptus horistes subsp. horistes","DN 2756","Youanmi, WA",187,2000,28,"R187/T28","CCA3769"
"Eucalyptus horistes subsp. horistes","DN 2756","Youanmi, WA",187,2000,29,"R187/T29","CCA3770"
"Eucalyptus horistes subsp. horistes","DN 2756","Youanmi, WA",187,2000,30,"R187/T30","CCA3771"
"Eucalyptus longissima
","DN 2160","Jimberlana Hill, WA",187,2000,31,"R187/T31","CCA3772"
"Eucalyptus longissima
","DN 2160","Jimberlana Hill, WA",187,2000,33,"R187/T33","CCA3773"
"Eucalyptus kochii subsp. kochii","DN 2218","Morawa, WA",187,2000,34,"R187/T34","CCA3774"
"Eucalyptus kochii subsp. kochii","DN 2218","Morawa, WA",187,2000,37,"R187/T37","CCA3775"
"Eucalyptus odorata","DN 2580","Serviceton, Vic",188,2000,1,"R188/T01","CCA3776"
"Eucalyptus odorata","DN 2580","Serviceton, Vic",188,2000,2,"R188/T02","CCA3777"
"Eucalyptus odorata","DN 2580","Serviceton, Vic",188,2000,3,"R188/T03","CCA3778"
"Eucalyptus odorata","DN 2580","Serviceton, Vic",188,2000,4,"R188/T04","CCA3779"
